No,Nama Dataset,Produsen Data,Tanggal Pembuatan,Tanggal Update,Link API
1,Jumlah penderita penyakit di desa cimungkal kec wado tahun 2021,Desa Cimungkal,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012001_07
2,Jumlah penderita penyakit di desa ganjaresik kec wado tahun 2021,Desa Ganjaresik,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012002_07
3,Jumlah penderita penyakit di desa wado kec wado tahun 2021,Desa Wado,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012006_07
4,Jumlah penderita penyakit di desa cikareo utara kec wado tahun 2021,Desa Cikareo Utara,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012005_07
5,Jumlah penderita penyakit di desa cikareo selatan kec wado tahun 2021,Desa Cikareo Selatan,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012004_07
6,Jumlah penderita penyakit di desa mulyajaya kec wado tahun 2021,Desa Mulyajaya,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012007_07
7,Jumlah penderita penyakit di desa sukajadi kec wado tahun 2021,Desa Sukajadi,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012009_07
8,Jumlah penderita penyakit di desa cisurat kec wado tahun 2021,Desa Cikurat,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012010_07
9,Jumlah penderita penyakit di desa sukapura kec wado tahun 2021,Desa Sukapura,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012011_07
10,Jumlah penderita penyakit di desa gudang kec tanjungsari tahun 2021,Desa Gudang,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211012011_07
11,Jumlah penderita penyakit di desa Tanjung Sari kec tanjungsari tahun 2021,Desa Tanjung Sari,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112002_07
12,Jumlah penderita penyakit di desa jatisari kec tanjungsari tahun 2021,Desa Jatisari,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112003_07
13,Jumlah penderita penyakit di desa margaluyu kec tanjungsari tahun 2021,Desa Margaluyu,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112004_07
14,Jumlah penderita penyakit di desa kutamandiri kec tanjungsari tahun 2021,Desa Kutamandiri,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112005_07
15,Jumlah penderita penyakit di desa margajaya kec tanjungsari tahun 2021,Desa Marga jaya,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112006_07
16,Jumlah penderita penyakit di desa raharja kec tanjungsari tahun 2021,Desa Raharja,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112007_07
17,Jumlah penderita penyakit di desa cijambu kec tanjungsari tahun 2021,Desa Cijambu,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112008_07
18,Jumlah penderita penyakit di desa pasigaran kec tanjungsari tahun 2021,Desa Pasigaran,2022-07-04 10:54:29 AM,2022-07-11 10:54:29 AM,https://opendata.sumedangkab.go.id/index.php/api/destik_3211112009_07
